NUMDOS|NUMDOSVERLING|ANCART|FILIERE|ETAPE|VERLING|FORMAT
DD237051|DD237051|LNEN50289-1-3|ETR|60.62|E|PDFC
DD238051|DD238051|LNEN62077|ETR|99.60|E|PDFC
DD239051|DD239051|LNEN62070|ETR|60.62|E|PDFC
DD240051|DD240051|LNEN60249-2-7/A4|ETR|99.60|E|PDFC
DD241051|DD241051|LNEN60249-2-10/A5|ETR|99.60|E|PDFC
DD242051|DD242051|LNEN60249-2-9/A5|ETR|99.60|E|PDFC
DD243051|DD243051|LNEN60249-2-6/A4|ETR|99.60|E|PDFC
DD244051|DD244051|LNEN60249-2-5/A5|ETR|99.60|E|PDFC
DD245051|DD245051|LNEN60249-2-11/A4|ETR|99.60|E|PDFC
DD246051|DD246051|LNEN62107|ETR|60.62|E|PDFC
DD247051|DD247051|LNEN50289-1-7|ETR|60.62|E|PDFC
DD248051|DD248051|LNEN62005-2|ETR|60.62|E|PDFC
DD249051|DD249051|LNEN50289-1-4|ETR|60.62|E|PDFC
DD250051|DD250051|LNEN61834-7|ETR|60.62|E|PDFC
DD251051|DD251051|LNEN62005-1|ETR|60.62|E|PDFC
DD252051|DD252051|LNEN50289-1-5|ETR|60.62|E|PDFC
DD253051|DD253051|LNEN50289-1-8|ETR|99.60|E|PDFC
DD254051|DD254051|LNEN60255-24|ETR|60.62|E|PDFC
DD255051|DD255051|LNEN60044-1/A1|ETR|60.62|E|PDFC
DD256051|DD256051|LNEN50294/A1|ETR|99.60|E|PDFC
DD257051|DD257051|LNEN50361|ETR|99.60|E|PDFC
DD258051|DD258051|LNEN60811-1-1/A1|ETR|60.62|E|PDFC
DD259051|DD259051|LNEN60534-3-2|ETR|60.62|E|PDFC
DD260051|DD260051|LNEN60747-5-1|ETR|60.62|E|PDFC
DD261051|DD261051|LNEN60747-5-3|ETR|60.62|E|PDFC
DD262051|DD262051|LNEN61189-3|ETR|99.60|E|PDFC
DD263051|DD263051|LNEN60848|ETR|99.60|E|PDFC
DD264051|DD264051|LNEN60974-5|ETR|99.60|E|PDFC
DD265051|DD265051|LNEN60623|ETR|99.60|E|PDFC
DD266051|DD266051|LNEN60068-3-7|ETR|99.60|E|PDFC
DD267051|DD267051|LNEN61788-1|ETR|99.60|E|PDFC
DD268051|DD268051|LNEN61076-2-001|ETR|99.60|E|PDFC
DD269051|DD269051|LNEN61478|ETR|60.62|E|PDFC
DD270051|DD270051|LNEN60068-3-5|ETR|99.60|E|PDFC
DD271051|DD271051|LNEN60068-3-6|ETR|99.60|E|PDFC
DD272051|DD272051|LNEN61331-1|ETR|99.60|E|PDFC
DD273051|DD273051|LNEN61331-2|ETR|99.60|E|PDFC
DD274051|DD274051|LNEN61817|ETR|60.62|E|PDFC
DD275051|DD275051|LNEN50365|ETR|60.62|E|PDFC
DD276051|DD276051|LNEN61193-1|ETR|60.62|E|PDFC
DD277051|DD277051|LNEN61000-4-3|ETR|99.60|E|PDFC
DD278051|DD278051|LNEN61032|ETR|60.62|E|PDFC
DD279051|DD279051|LNEN60851-2/A2|ETR|99.60|E|PDFC
DD280051|DD280051|LNEN60885-2|ETR|60.62|E|PDFC
DD588050|DD588050|LNEN60730-1/AC|ETR|99.60|E|PDFC
DD589050|DD589050|LNEN60311/A1|ETR|99.60|E|PDFC
DD590050|DD590050|LNEN60730-1/AC|ETR|99.60|E|PDFC
DD591050|DD591050|LNEN60311/A2|ETR|99.60|E|PDFC
DD592050|DD592050|LNEN60249-2-15/A1|ETR|99.60|E|PDFC
DD593050|DD593050|LNEN50021|ETR|99.60|E|PDFC
DD594050|DD594050|LNEN50052/A2/AC|ETR|60.62|E|PDFC
DD595050|DD595050|LNEN50052/A2|ETR|99.60|E|PDFC
DD596050|DD596050|LNEN50064/A1/AC|ETR|99.60|E|PDFC
DD597050|DD597050|LNEN50064/A1|ETR|99.60|E|PDFC
DD598050|DD598050|LNEN50065-2-2/A1|ETR|60.62|E|PDFC
DD599050|DD599050|LNEN50068/AC|ETR|99.60|E|PDFC
DD600050|DD600050|LNEN50068|ETR|99.60|E|PDFC
DD601050|DD601050|LNEN50069/AC|ETR|99.60|E|PDFC
DD602050|DD602050|LNEN50069|ETR|99.60|E|PDFC
DD603050|DD603050|LNEN50083-10|ETR|99.60|E|PDFC
DD604050|DD604050|LNEN50083-7/AC|ETR|99.60|E|PDFC
DD605050|DD605050|LNEN50083-7/AC|ETR|99.60|E|PDFC
DD606050|DD606050|LNEN50083-7|ETR|99.60|E|PDFC
DD607050|DD607050|LNEN50088/A1|ETR|99.60|E|PDFC
DD608050|DD608050|LNEN50088/A1/AC|ETR|99.60|E|PDFC
DD609050|DD609050|LNEN50088/A2|ETR|99.60|E|PDFC
DD610050|DD610050|LNEN50088/A2/AC|ETR|99.60|E|PDFC
DD611050|DD611050|LNEN50088|ETR|99.60|E|PDFC
DD612050|DD612050|LNEN50088/AC|ETR|99.60|E|PDFC
DD613050|DD613050|LNEN50122-2|ETR|99.60|E|PDFC
DD614050|DD614050|LNEN50144-1|ETR|99.60|E|PDFC
DD615050|DD615050|LNEN50144-1/AC|ETR|99.60|E|PDFC
DD616050|DD616050|LNEN50149/AC|ETR|99.60|E|PDFC
DD617050|DD617050|LNEN50149|ETR|99.60|E|PDFC
DD618050|DD618050|LNEN50160|ETR|99.60|E|PDFC
DD619050|DD619050|LNEN60249-1|ETR|99.60|E|PDFC
DD620050|DD620050|LNEN50240|ETR|99.60|E|PDFC
DD281051|DD281051|LNEN60794-2-21|ETR|99.60|E|PDFC
DD282051|DD282051|LNEN60794-2-31|ETR|99.60|E|PDFC
DD283051|DD283051|LNEN61242/A12|ETR|60.62|E|PDFC
DD284051|DD284051|LNEN60664-4|ETR|60.62|E|PDFC
DD285051|DD285051|LNEN61315|ETR|99.60|E|PDFC
DD286051|DD286051|LNEN61347-2-3/A2|ETR|99.60|E|PDFC
DD287051|DD287051|LNEN50310|ETR|99.60|E|PDFC
DD288051|DD288051|LNEN60335-2-43/A1|ETR|99.60|E|PDFC
DD289051|DD289051|LNEN55013/A2|ETR|99.60|E|PDFC
DD290051|DD290051|LNEN60335-1/A12|ETR|99.60|E|PDFC
DD291051|DD291051|LNEN61076-2-101/A1|ETR|99.60|E|PDFC
DD292051|DD292051|LNEN60335-2-37/A1|ETR|60.62|E|PDFC
DD293051|DD293051|LNEN60335-2-13/A2|ETR|99.60|E|PDFC
DD294051|DD294051|LNEN60312|ETR|60.62|E|PDFC
DD295051|DD295051|LNEN61242/A1|ETR|60.62|E|PDFC
DD296051|DD296051|LNEN60034-2-1|ETR|99.60|E|PDFC
DD297051|DD297051|LNEN60335-2-72|ETR|99.60|E|PDFC
DD298051|DD298051|LNEN60335-2-60|ETR|99.60|E|PDFC
DD299051|DD299051|LNEN60122-1|ETR|60.62|E|PDFC
DD300051|DD300051|LNEN60335-2-71|ETR|99.60|E|PDFC
DD301051|DD301051|LNEN60204-31|ETR|99.60|E|PDFC
DD302051|DD302051|LNEN60730-2-13/A11|ETR|99.60|E|PDFC
DD303051|DD303051|LNEN60793-2-50|ETR|99.60|E|PDFC
DD304051|DD304051|LNEN50053-2|ETR|60.62|E|PDFC
DD305051|DD305051|LNEN50059|ETR|99.60|E|PDFC
DD306051|DD306051|LNEN60730-2-14/A11|ETR|99.60|E|PDFC
DD307051|DD307051|LNEN60079-5|ETR|99.60|E|PDFC
DD308051|DD308051|LNEN60335-2-59|ETR|99.60|E|PDFC
DD309051|DD309051|LNEN60601-2-17/A1|ETR|99.60|E|PDFC
DD310051|DD310051|LNEN60335-1/A14|ETR|99.60|E|PDFC
DD311051|DD311051|LNEN50321|ETR|99.60|E|PDFC
DD312051|DD312051|LNEN62108|ETR|99.60|E|PDFC
DD313051|DD313051|LNEN60704-2-4|ETR|99.60|E|PDFC
DD314051|DD314051|LNEN60704-3|ETR|99.60|E|PDFC
DD315051|DD315051|LNEN62271-205|ETR|60.62|E|PDFC
DD316051|DD316051|LNEN60127-5|ETR|99.60|E|PDFC
DD317051|DD317051|LNEN60465|ETR|60.62|E|PDFC
DD318051|DD318051|LNEN61290-2-3|ETR|99.60|E|PDFC
DD319051|DD319051|LNEN61290-6-1|ETR|60.62|E|PDFC
DD320051|DD320051|LNEN61290-2-2|ETR|99.60|E|PDFC
DD321051|DD321051|LNEN61280-2-4|ETR|99.60|E|PDFC
DD322051|DD322051|LNEN50285|ETR|60.62|E|PDFC
DD323051|DD323051|LNEN50133-2-1|ETR|60.62|E|PDFC
DD324051|DD324051|LNEN60255-25|ETR|99.60|E|PDFC
DD621050|DD621050|LNEN50248|ETR|60.62|E|PDFC
DD622050|DD622050|LNEN60249-1/A4|ETR|99.60|E|PDFC
DD623050|DD623050|LNEN50248/AC|ETR|60.62|E|PDFC
DD624050|DD624050|LNEN50250/AC|ETR|60.62|E|PDFC
DD625050|DD625050|LNEN50250|ETR|60.62|E|PDFC
DD626050|DD626050|LNEN50286|ETR|60.62|E|PDFC
DD627050|DD627050|LNEN62271-100A2AC|ETR|60.62|E|PDFC
DD628050|DD628050|LNEN50286/AC|ETR|60.62|E|PDFC
DD629050|DD629050|LNEN50304/AC|ETR|99.60|E|PDFC
DD630050|DD630050|LNEN50304|ETR|99.60|E|PDFC
DD631050|DD631050|LNEN50340|ETR|99.60|E|PDFC
DD632050|DD632050|LNEN50340/AC|ETR|99.60|E|PDFC
DD633050|DD633050|LNEN50342-1|ETR|99.60|E|PDFC
DD634050|DD634050|LNEN50344-1|ETR|60.62|E|PDFC
DD635050|DD635050|LNEN50360|ETR|99.60|E|PDFC
DD636050|DD636050|LNEN50360/AC|ETR|99.60|E|PDFC
DD637050|DD637050|LNEN60034-18-21/A1|ETR|99.60|E|PDFC
